id,product_id,active,description,unit_amount,currency,type,interval,interval_count,trial_period_days,metadata
price_1S8hMVEC5zyE604bRsfskiG2,prod_T4r49Ay2aJopUV,true,,4400,usd,recurring,month,1,0,
price_1S8hN4EC5zyE604bH4f5cLDy,prod_T4r49Ay2aJopUV,true,,44000,usd,recurring,year,1,0,
price_1S8hRgEC5zyE604bKgn6mu3Q,prod_T4r9ZgRmGrjArM,true,,14400,usd,recurring,month,1,0,
price_1S8hRgEC5zyE604bjs8GRHZe,prod_T4r9ZgRmGrjArM,true,,144000,usd,recurring,year,1,0,
price_1S8hTbEC5zyE604b5uBWnTjd,prod_T4rBelLltR2W2f,true,,44400,usd,recurring,month,1,0,
price_1S8hcfEC5zyE604b0ASwjQub,prod_T4rBelLltR2W2f,true,,444000,usd,recurring,year,1,0,
